Percent_Thrombolysis_(median),Percent_Thrombolysis_(low_5%),Percent_Thrombolysis_(high_95%),Percent_Thrombolysis_(mean),Percent_Thrombolysis_(stdev),Percent_Thrombolysis_(95ci),Baseline_good_outcomes_per_1000_patients_(median),Baseline_good_outcomes_per_1000_patients_(low_5%),Baseline_good_outcomes_per_1000_patients_(high_95%),Baseline_good_outcomes_per_1000_patients_(mean),Baseline_good_outcomes_per_1000_patients_(stdev),Baseline_good_outcomes_per_1000_patients_(95ci),Additional_good_outcomes_per_1000_patients_(median),Additional_good_outcomes_per_1000_patients_(low_5%),Additional_good_outcomes_per_1000_patients_(high_95%),Additional_good_outcomes_per_1000_patients_(mean),Additional_good_outcomes_per_1000_patients_(stdev),Additional_good_outcomes_per_1000_patients_(95ci),Onset_to_needle_(mean),Onset_to_puncture_(mean),stroke_team,scenario
21.255061,16.983806,26.315789,21.360324,2.714421,0.532017,346.153846,299.392713,393.117409,346.801619,27.86713,5.461857,12.145749,4.048583,28.340081,13.562753,7.685417,1.506314,179.22031,,9,base
26.720648,23.866397,31.983806,27.157895,2.584798,0.506611,348.178138,307.489879,393.117409,350.283401,28.5263,5.591052,20.242915,7.894737,32.388664,19.595142,8.152593,1.597879,180.758458,,9,benchmark
21.45749,18.218623,25.931174,21.862348,2.435276,0.477305,348.178138,303.441296,396.963563,349.02834,28.669964,5.61921,16.194332,3.846154,28.340081,15.708502,8.324618,1.631595,177.302025,,9,onset
27.125506,23.05668,32.408907,27.226721,3.032072,0.594275,340.080972,299.392713,392.712551,342.510121,28.383863,5.563135,20.242915,4.048583,32.388664,19.757085,9.103607,1.784274,178.140618,,9,onset_benchmark
21.45749,17.813765,25.526316,21.700405,2.449512,0.480095,344.129555,303.643725,397.165992,346.234818,29.061057,5.695863,16.194332,4.048583,32.388664,15.870445,8.982772,1.760591,171.216035,,9,speed
27.530364,23.481781,31.983806,27.315789,2.707296,0.53062,348.178138,307.692308,388.663968,348.340081,26.388325,5.172017,20.242915,8.097166,36.437247,21.133603,8.429369,1.652126,171.831988,,9,speed_benchmark
21.862348,18.198381,26.336032,21.793522,2.465046,0.48314,352.226721,299.595142,388.663968,348.582996,26.907614,5.273795,12.145749,4.048583,28.340081,15.060729,7.954412,1.559036,171.735036,,9,speed_onset
27.125506,22.651822,31.578947,27.165992,2.707935,0.530746,348.178138,307.692308,396.761134,351.417004,26.016022,5.099047,20.242915,8.097166,36.437247,21.336032,9.347234,1.832024,172.678181,,9,speed_onset_benchmark
14.038462,11.153846,16.923077,14.046154,1.93159,0.378585,307.692308,272.884615,338.461538,305.307692,22.163886,4.344042,7.692308,0.0,15.384615,8.692308,4.908462,0.962041,170.754405,,10,base
21.923077,16.923077,26.173077,21.946154,2.738706,0.536776,311.538462,265.384615,357.884615,310.461538,27.54081,5.3979,15.384615,3.846154,30.769231,15.115385,8.222865,1.611652,167.984968,,10,benchmark
15.384615,12.673077,19.615385,15.588462,2.084847,0.408623,311.538462,265.384615,373.076923,312.115385,29.451052,5.7723,7.692308,0.0,19.230769,9.730769,5.848459,1.146277,168.87286,,10,onset
22.692308,19.980769,26.942308,23.192308,2.336328,0.457912,307.692308,265.192308,346.538462,305.346154,26.039417,5.103632,15.384615,3.846154,27.115385,14.769231,7.369286,1.444354,170.144292,,10,onset_benchmark
14.615385,11.519231,16.942308,14.311538,1.796781,0.352163,303.846154,276.538462,350.0,309.0,26.586418,5.210842,7.692308,0.0,19.230769,9.5,4.994019,0.97881,149.134597,,10,speed
22.307692,18.846154,26.961538,22.523077,2.441914,0.478606,303.846154,273.076923,342.5,305.423077,22.017205,4.315293,15.384615,7.692308,30.769231,16.884615,7.533223,1.476485,149.090344,,10,speed_benchmark
15.769231,11.153846,19.230769,15.611538,2.444223,0.479059,303.846154,269.038462,350.0,304.230769,25.220917,4.943209,7.692308,0.0,23.269231,10.846154,7.198194,1.41082,148.97878,,10,speed_onset
24.230769,19.615385,27.692308,24.153846,2.296008,0.450009,307.692308,253.461538,357.692308,307.769231,28.761102,5.637072,15.384615,7.692308,30.961538,17.615385,7.194041,1.410006,149.843968,,10,speed_onset_benchmark
10.027473,7.967033,12.101648,10.03022,1.341047,0.26284,326.923077,291.208791,368.406593,329.89011,22.643251,4.437996,5.494505,2.747253,13.736264,7.197802,4.730744,0.927209,155.595649,,11,base
10.989011,8.777473,13.186813,10.983516,1.412741,0.276892,335.164835,293.818681,368.131868,332.637363,22.487843,4.407536,8.241758,0.0,16.483516,7.445055,4.657907,0.912933,156.603013,,11,benchmark
